age,gender,state_of_origin,distance_from_home_km,marital_status,has_children,admission_score,secondary_school_type,secondary_cgpa,year_of_study,current_cgpa,course_load_per_semester,attendance_percentage,number_of_failed_courses,number_of_repeated_courses,semester_gpa_trend,department,program_difficulty,scholarship_status,family_income_level,fee_payment_status,has_part_time_job,receives_allowance,financial_stress_level,library_visits_per_week,online_platform_usage_hours,participation_in_clubs,has_mentor,peer_study_groups,social_integration_score,accommodation_type,health_status,stress_level,received_academic_counseling,tutoring_sessions_attended,motivation_level,career_clarity,family_support,previous_warnings,probation_status,is_stem,will_dropout
18,Male,Kaduna,87,Single,0,195,Private,2.3,3,2.81,28,43,6,4,Improving,Social_Sciences,High,None,Medium,Partially_Paid,0,1,Low,9,23,0,0,1,2,Private_Hostel,Good,Very_High,0,7,Moderate,Unclear,Low,1,1,0,1
21,Female,Kano,586,Single,0,273,Public,3.72,1,4.43,21,63,4,4,Improving,Arts,High,None,Low,Partially_Paid,1,0,High,9,17,0,1,1,7,Private_Hostel,Excellent,Moderate,1,11,Low,Very_Unclear,Moderate,3,0,0,0
17,Female,Kano,68,Single,0,279,Public,2.82,3,3.75,20,76,13,4,Declining,Engineering,Low,Partial,Medium,Fully_Paid,1,1,Moderate,12,21,1,0,1,3,Off_Campus,Excellent,Moderate,1,14,Moderate,Clear,Very_High,4,0,1,1
23,Female,Rivers,245,Single,0,247,Public,2.59,1,2.59,12,56,6,6,Stable,Science,High,Partial,High,Fully_Paid,0,0,Moderate,3,1,0,0,0,3,Campus_Hostel,Excellent,Low,0,16,Moderate,Somewhat_Clear,High,1,0,1,0
17,Female,Rivers,457,Single,0,273,Public,2.81,3,3.63,26,88,14,4,Declining,Agriculture,Very_High,Full,Medium,Fully_Paid,0,1,Low,9,18,0,0,1,5,Private_Hostel,Fair,Moderate,0,1,Moderate,Somewhat_Clear,Very_High,4,0,0,1
25,Female,Ogun,181,Single,1,193,Private,3.3,2,4.75,26,86,1,1,Stable,Arts,High,Partial,Low,Owing,1,0,Moderate,9,20,1,0,0,8,Campus_Hostel,Fair,High,0,12,Moderate,Clear,Low,3,1,0,0
23,Female,Oyo,469,Single,1,287,Public,3.83,4,3.5,23,51,1,4,Declining,Medicine,Moderate,Partial,Medium,Fully_Paid,1,0,Moderate,10,21,0,1,1,8,Living_with_Family,Fair,High,0,13,High,Somewhat_Clear,High,4,0,1,0
21,Male,Lagos,728,Single,0,248,Public,3.53,2,2.42,15,38,6,6,Stable,Arts,Moderate,Full,High,Partially_Paid,1,0,High,12,8,0,0,0,1,Living_with_Family,Fair,Low,0,9,High,Somewhat_Clear,High,1,1,0,1
20,Male,Katsina,662,Single,0,308,Private,3.63,4,2.25,17,63,2,1,Stable,Social_Sciences,Very_High,None,Medium,Fully_Paid,0,0,Moderate,1,20,0,0,1,3,Campus_Hostel,Fair,Moderate,0,5,Moderate,Somewhat_Clear,Moderate,1,0,0,1
22,Female,Ogun,225,Single,1,293,Private,4.41,2,4.08,25,40,1,3,Declining,Law,High,None,Low,Owing,1,1,Moderate,2,29,1,1,1,2,Private_Hostel,Excellent,Low,0,5,High,Clear,Moderate,0,0,0,0
26,Male,Delta,757,Single,0,285,Public,4.75,2,4.96,18,34,5,0,Improving,Environmental_Studies,High,None,Low,Fully_Paid,0,1,Moderate,7,16,0,1,1,3,Campus_Hostel,Fair,Moderate,0,14,Moderate,Unclear,Moderate,1,1,0,0
27,Female,Lagos,431,Single,0,207,Private,4.92,2,2.82,13,31,6,4,Stable,Social_Sciences,Very_High,None,Low,Owing,0,1,Low,6,9,1,1,0,8,Living_with_Family,Good,Low,1,17,Moderate,Very_Clear,Moderate,0,0,0,1
20,Female,Imo,406,Single,0,338,Public,2.94,3,2.88,21,68,2,3,Declining,Education,Moderate,None,Low,Fully_Paid,0,1,Low,10,25,0,0,1,4,Living_with_Family,Fair,High,0,17,Moderate,Unclear,High,2,0,0,0
26,Female,Borno,434,Single,0,207,Public,4.64,2,3.54,23,55,14,0,Declining,Business_Admin,Moderate,None,Low,Partially_Paid,1,1,Moderate,10,10,1,1,0,2,Campus_Hostel,Fair,Moderate,0,19,High,Clear,High,0,1,0,1
22,Female,Oyo,329,Single,1,232,Public,2.76,1,4.62,24,46,7,4,Stable,Engineering,Moderate,Partial,Low,Partially_Paid,0,1,High,0,29,1,0,0,8,Private_Hostel,Good,High,0,4,Low,Unclear,Moderate,4,0,1,0
25,Male,Ekiti,305,Single,0,229,Private,4.45,4,1.83,23,95,5,1,Stable,Education,Moderate,Partial,Low,Partially_Paid,1,0,Very_High,0,9,0,0,0,1,Campus_Hostel,Excellent,High,0,5,Very_High,Very_Unclear,Very_Low,3,0,0,1
23,Male,Delta,333,Single,0,321,Public,4.68,3,2.48,22,73,7,1,Stable,Engineering,High,None,Medium,Fully_Paid,0,1,Moderate,6,24,1,1,0,1,Campus_Hostel,Poor,High,1,0,High,Very_Unclear,Very_Low,4,0,1,1
20,Female,Rivers,592,Single,0,318,Private,2.32,1,1.99,19,45,3,4,Stable,Agriculture,High,None,Medium,Partially_Paid,0,1,Moderate,2,13,0,1,1,3,Campus_Hostel,Excellent,Low,0,14,Moderate,Very_Clear,High,1,0,0,0
21,Female,Katsina,525,Single,0,305,Public,3.99,5,4.77,20,56,8,1,Declining,Education,Moderate,Partial,High,Partially_Paid,0,0,Very_High,5,6,0,0,1,5,Off_Campus,Good,Very_High,0,5,Moderate,Clear,Low,0,1,0,1
22,Female,Ekiti,313,Single,0,297,Public,2.56,2,2.06,23,68,2,0,Improving,Business_Admin,Low,None,Medium,Partially_Paid,0,1,Low,12,20,0,0,1,3,Campus_Hostel,Good,Low,1,0,Moderate,Unclear,Moderate,3,0,0,0
16,Female,Delta,653,Single,0,252,Public,4.18,4,2.41,23,66,12,7,Stable,Medicine,Low,None,Low,Fully_Paid,0,0,High,5,21,1,1,1,4,Living_with_Family,Good,High,0,4,High,Clear,Very_High,0,1,1,1
17,Female,Ogun,516,Single,1,309,Private,2.46,1,4.67,21,44,5,7,Declining,Science,High,None,Low,Partially_Paid,0,0,Moderate,13,7,0,1,1,4,Off_Campus,Fair,High,0,1,Moderate,Somewhat_Clear,High,1,0,1,0
22,Male,Oyo,28,Single,0,248,Public,3.71,1,4.22,21,55,3,2,Declining,Environmental_Studies,Low,None,Low,Partially_Paid,1,1,Low,9,8,1,0,0,6,Campus_Hostel,Good,Low,1,17,Very_Low,Unclear,High,3,1,0,0
20,Female,Borno,430,Single,0,262,Private,2.73,1,3.05,25,90,13,6,Declining,Agriculture,Moderate,None,Low,Fully_Paid,0,0,Low,4,12,0,1,0,5,Campus_Hostel,Fair,High,1,10,Moderate,Unclear,Very_High,0,0,0,0
22,Female,Katsina,524,Single,0,306,Public,3.79,3,4.18,28,47,5,2,Stable,Education,High,Full,Low,Partially_Paid,0,1,High,1,3,0,0,0,6,Off_Campus,Excellent,High,0,3,Moderate,Clear,High,1,1,0,0
19,Male,Kaduna,27,Single,0,200,Public,4.49,4,1.64,18,34,14,1,Declining,Education,Very_High,None,Low,Fully_Paid,0,1,Moderate,1,25,1,0,0,9,Off_Campus,Good,Moderate,0,0,High,Clear,Very_High,0,0,0,1
22,Male,Cross_River,399,Single,0,274,Public,2.22,3,2.04,12,67,11,6,Improving,Arts,Very_High,Partial,Medium,Fully_Paid,0,1,High,11,3,0,1,1,1,Off_Campus,Poor,High,0,9,High,Unclear,High,1,0,0,1
27,Female,Borno,798,Single,0,266,Private,4.28,1,2.99,17,36,7,3,Declining,Social_Sciences,Moderate,None,Low,Fully_Paid,0,0,Very_High,13,9,0,0,0,8,Private_Hostel,Good,High,0,6,Very_Low,Somewhat_Clear,High,0,0,0,1
21,Female,Anambra,753,Single,0,280,Private,2.36,2,2.12,15,55,6,3,Declining,Environmental_Studies,High,Full,Low,Owing,1,0,High,10,29,0,1,1,4,Living_with_Family,Fair,Moderate,1,19,High,Clear,Very_High,2,0,0,1
17,Male,Edo,685,Single,0,296,Public,2.4,2,3.86,14,73,2,1,Improving,Social_Sciences,High,None,Low,Partially_Paid,1,0,Very_High,12,1,1,1,0,4,Living_with_Family,Good,Moderate,0,14,Low,Somewhat_Clear,High,0,0,0,0
17,Female,Borno,216,Single,0,231,Public,4.85,4,2.17,14,56,7,4,Declining,Engineering,Moderate,None,Medium,Fully_Paid,0,0,Moderate,5,19,0,1,1,9,Living_with_Family,Excellent,High,0,4,Very_Low,Unclear,High,0,0,1,1
16,Male,Rivers,212,Single,0,239,Public,4.9,1,2.68,15,47,2,3,Stable,Business_Admin,High,None,Low,Owing,0,1,Low,2,15,1,1,1,8,Campus_Hostel,Excellent,Low,0,8,High,Unclear,Moderate,0,0,0,0
24,Male,Delta,725,Single,0,231,Private,2.88,1,4.61,28,62,4,7,Stable,Business_Admin,High,None,Low,Partially_Paid,0,0,Low,3,13,0,0,1,4,Campus_Hostel,Excellent,Moderate,0,8,Very_High,Very_Unclear,Moderate,2,0,0,0
23,Female,Imo,426,Single,0,300,Private,3.36,4,4.14,16,42,2,0,Declining,Environmental_Studies,Moderate,None,High,Fully_Paid,0,1,High,9,10,0,1,1,8,Campus_Hostel,Fair,Very_High,0,5,Very_Low,Clear,High,1,0,0,0
21,Male,Ogun,397,Single,0,321,Public,4.37,2,3.45,14,96,6,5,Declining,Engineering,Low,None,Medium,Partially_Paid,1,0,Moderate,13,1,0,0,0,5,Campus_Hostel,Fair,Moderate,0,12,Moderate,Very_Clear,High,2,1,1,1
26,Male,Imo,574,Single,0,282,Public,3.2,1,3.8,13,60,11,3,Declining,Science,High,Partial,Low,Partially_Paid,0,0,Moderate,4,25,0,0,1,3,Living_with_Family,Good,High,1,17,Low,Clear,Moderate,4,0,1,1
22,Female,Ogun,71,Married,0,309,Private,2.48,2,2.76,26,47,2,4,Declining,Medicine,High,Partial,Medium,Owing,1,0,Moderate,12,17,1,1,0,1,Campus_Hostel,Good,High,0,13,Very_High,Unclear,Very_Low,1,0,1,1
24,Male,Cross_River,153,Single,0,277,Public,3.42,2,1.8,20,54,8,6,Improving,Business_Admin,High,None,Low,Fully_Paid,0,1,Moderate,14,23,1,1,1,6,Off_Campus,Excellent,Low,1,8,High,Unclear,Moderate,1,0,0,1
25,Female,Delta,104,Single,0,238,Public,2.86,4,2.2,12,49,1,7,Declining,Social_Sciences,Very_High,None,Low,Owing,0,0,Moderate,1,22,0,1,0,7,Campus_Hostel,Excellent,Moderate,1,5,Moderate,Somewhat_Clear,Low,0,0,0,1
26,Male,Lagos,617,Single,0,224,Private,2.3,3,2.69,21,39,4,1,Stable,Agriculture,Low,None,Medium,Fully_Paid,0,1,High,9,15,1,0,0,8,Private_Hostel,Good,High,0,3,Moderate,Unclear,Very_Low,2,1,0,1
16,Female,Anambra,364,Single,0,235,Public,2.1,1,4.05,15,64,5,6,Stable,Social_Sciences,High,None,Low,Partially_Paid,1,1,High,9,24,1,0,0,7,Off_Campus,Good,Moderate,0,4,Low,Very_Unclear,High,2,0,0,0
17,Female,Lagos,210,Single,0,260,Public,2.77,2,3.06,17,86,4,3,Improving,Science,Moderate,Partial,Medium,Fully_Paid,1,1,Low,4,29,0,1,0,5,Living_with_Family,Good,Very_High,0,18,High,Somewhat_Clear,High,0,0,1,0
20,Female,Ekiti,162,Single,0,206,Private,4.45,1,3.29,16,84,14,7,Declining,Agriculture,Moderate,None,Low,Partially_Paid,1,1,Very_High,1,16,1,1,1,2,Living_with_Family,Good,High,0,13,Very_High,Unclear,Moderate,3,1,0,1
24,Female,Delta,731,Married,0,217,Public,3.32,3,1.95,18,42,10,5,Stable,Education,Moderate,Partial,High,Partially_Paid,0,0,High,7,26,0,0,0,4,Living_with_Family,Fair,High,1,2,Low,Unclear,Very_High,3,0,0,1
18,Male,Ogun,347,Single,1,206,Public,4.69,2,1.88,14,77,2,2,Declining,Medicine,Moderate,None,Medium,Owing,1,0,Low,7,24,1,0,1,4,Campus_Hostel,Good,Very_High,0,3,Moderate,Unclear,Moderate,3,0,1,1
16,Male,Ekiti,36,Single,0,262,Public,3.55,3,2.29,28,80,0,3,Stable,Social_Sciences,High,None,High,Fully_Paid,1,1,Moderate,3,4,0,0,0,8,Off_Campus,Good,Low,0,11,Very_Low,Somewhat_Clear,High,1,0,0,0
24,Male,Delta,742,Single,0,310,Public,2.62,1,3.05,29,34,10,3,Improving,Engineering,Moderate,None,Medium,Owing,0,1,Low,8,18,1,0,0,9,Off_Campus,Poor,High,0,17,Very_High,Unclear,Low,2,0,1,1
24,Female,Enugu,144,Single,0,342,Public,4.26,2,3.28,19,99,3,2,Stable,Business_Admin,High,None,High,Owing,0,0,Low,3,21,0,0,0,7,Off_Campus,Excellent,Moderate,0,7,Moderate,Very_Unclear,Very_High,4,0,0,0
22,Male,Imo,123,Single,0,302,Public,4.36,4,3.49,22,47,4,6,Declining,Social_Sciences,Moderate,Partial,Low,Fully_Paid,0,0,Moderate,0,2,1,0,1,8,Off_Campus,Fair,Very_High,1,17,Low,Clear,Moderate,2,0,0,0
23,Female,Imo,482,Married,0,299,Public,2.92,2,4.13,25,48,1,0,Improving,Environmental_Studies,Moderate,None,Medium,Partially_Paid,0,1,Moderate,3,3,1,0,0,7,Off_Campus,Excellent,High,0,2,High,Somewhat_Clear,Moderate,0,0,0,0
19,Female,Imo,704,Single,0,344,Public,4.36,2,1.55,26,33,1,1,Improving,Arts,Moderate,Partial,High,Partially_Paid,1,1,Moderate,4,15,0,0,1,8,Campus_Hostel,Poor,Moderate,1,19,Very_High,Somewhat_Clear,Very_Low,1,0,0,1
19,Male,Cross_River,523,Single,0,201,Public,3.37,4,1.6,15,48,5,3,Declining,Engineering,Low,None,Medium,Partially_Paid,1,0,Moderate,14,12,0,1,1,9,Private_Hostel,Fair,Moderate,1,3,High,Unclear,High,4,0,1,1
25,Male,Oyo,382,Single,0,296,Public,3.47,3,2.39,16,84,5,3,Declining,Social_Sciences,Moderate,None,Medium,Partially_Paid,1,1,Low,12,21,1,1,1,7,Off_Campus,Fair,Very_High,0,3,High,Somewhat_Clear,Very_Low,0,0,0,1
23,Female,Ogun,30,Single,0,207,Public,4.93,3,3.86,18,62,9,1,Declining,Social_Sciences,Moderate,None,Medium,Owing,0,1,High,0,28,0,1,1,3,Campus_Hostel,Fair,Low,0,19,Moderate,Clear,High,2,0,0,1
23,Female,Ekiti,366,Married,0,202,Public,4.86,2,2.75,26,99,1,6,Stable,Agriculture,Moderate,None,High,Partially_Paid,1,0,Very_High,13,1,0,0,1,8,Campus_Hostel,Good,Very_High,0,17,Moderate,Unclear,High,0,0,0,0
25,Male,Imo,781,Single,0,289,Private,3.53,4,2.27,28,31,3,6,Stable,Social_Sciences,High,Partial,Low,Owing,1,1,Moderate,1,21,1,0,0,4,Private_Hostel,Good,Moderate,0,19,High,Very_Clear,Very_Low,2,0,0,1
17,Male,Lagos,412,Single,0,183,Public,2.66,3,4.29,14,71,5,1,Improving,Arts,Very_High,Full,Low,Partially_Paid,1,0,High,5,21,1,0,1,2,Private_Hostel,Excellent,High,0,16,Low,Unclear,High,1,0,0,0
24,Female,Anambra,759,Single,1,195,Public,2.78,5,3.53,26,39,6,0,Stable,Arts,Moderate,Partial,Medium,Partially_Paid,0,0,Moderate,7,13,0,1,1,9,Off_Campus,Fair,Moderate,1,10,Low,Very_Clear,Very_High,2,0,0,0
18,Female,Edo,223,Single,0,298,Private,3.79,1,4.36,15,91,13,7,Stable,Law,Low,Partial,Low,Fully_Paid,0,0,Very_High,5,26,1,0,1,3,Campus_Hostel,Excellent,Moderate,1,6,Moderate,Clear,Low,0,0,0,0
20,Female,Ekiti,471,Single,0,200,Public,2.12,1,3.65,14,72,8,1,Stable,Science,Moderate,None,Low,Fully_Paid,1,1,Very_High,10,25,0,0,1,5,Campus_Hostel,Excellent,Low,1,18,Very_High,Very_Unclear,Low,4,0,1,1
27,Female,Lagos,372,Single,0,304,Private,2.28,1,2.8,28,55,1,4,Declining,Environmental_Studies,Low,None,Low,Fully_Paid,1,1,Moderate,3,27,1,0,1,1,Campus_Hostel,Good,Moderate,1,6,Moderate,Very_Clear,Low,4,0,0,0
25,Female,Lagos,683,Single,0,325,Private,3.2,5,4.96,16,54,4,0,Improving,Business_Admin,High,None,High,Owing,1,1,Moderate,14,2,1,1,1,5,Off_Campus,Good,Very_High,0,6,Moderate,Unclear,High,2,0,0,0
21,Female,Ogun,563,Married,0,226,Public,4.84,1,2.13,13,95,8,1,Improving,Education,Moderate,Full,Low,Owing,0,1,Low,0,23,1,0,1,2,Living_with_Family,Fair,High,0,11,High,Somewhat_Clear,Low,4,0,0,1
17,Female,Enugu,411,Single,0,336,Private,4.95,4,2.7,16,31,7,5,Declining,Arts,High,None,High,Owing,0,1,Moderate,14,19,0,1,1,9,Living_with_Family,Good,Very_High,0,11,Moderate,Somewhat_Clear,Moderate,0,0,0,1
20,Female,Oyo,118,Single,0,292,Private,3.78,3,3.74,15,62,9,3,Stable,Law,High,None,Low,Fully_Paid,0,1,High,3,12,1,0,0,7,Off_Campus,Good,Moderate,0,1,High,Clear,Low,3,0,0,1
20,Male,Katsina,793,Married,0,193,Private,3.39,2,2.88,22,88,1,0,Stable,Engineering,Low,Full,Low,Fully_Paid,0,0,Moderate,14,2,1,0,1,5,Campus_Hostel,Fair,Low,0,6,High,Unclear,Moderate,2,0,1,0
17,Male,Rivers,540,Single,0,344,Public,4.23,3,4.26,19,98,8,4,Improving,Law,Low,Partial,Medium,Fully_Paid,1,0,Very_High,8,1,0,0,1,3,Off_Campus,Good,High,1,5,Moderate,Unclear,High,1,1,0,0
27,Male,Ogun,721,Single,0,264,Public,2.11,2,1.75,12,70,8,1,Stable,Engineering,High,Full,Medium,Owing,0,0,Very_High,11,7,0,1,0,3,Private_Hostel,Good,Moderate,1,19,Moderate,Unclear,Very_High,0,0,1,1
21,Female,Delta,90,Single,0,343,Public,4.7,5,3.84,16,63,10,6,Stable,Law,High,Full,Low,Partially_Paid,1,0,High,4,11,0,1,1,5,Off_Campus,Poor,Moderate,0,13,Moderate,Somewhat_Clear,High,0,0,0,0
22,Male,Kaduna,170,Single,0,205,Private,3.7,3,3.17,25,58,13,1,Stable,Agriculture,Moderate,None,Medium,Partially_Paid,0,0,Moderate,10,4,0,1,1,4,Campus_Hostel,Good,Moderate,0,3,High,Somewhat_Clear,High,0,0,0,0
16,Male,Cross_River,213,Single,0,286,Public,2.91,1,4.82,24,87,4,3,Declining,Law,High,None,Low,Fully_Paid,1,1,Low,7,6,1,1,0,9,Off_Campus,Poor,High,0,9,Moderate,Somewhat_Clear,High,4,0,0,0
23,Female,Anambra,743,Single,0,206,Public,3.79,1,4.18,27,54,4,3,Improving,Education,Very_High,None,Medium,Fully_Paid,1,1,Low,8,14,0,0,0,7,Campus_Hostel,Good,Moderate,1,1,Low,Somewhat_Clear,High,1,0,0,0
18,Male,Delta,688,Single,0,215,Public,4.71,4,4.34,15,45,10,6,Declining,Education,Moderate,None,Medium,Owing,1,0,Low,1,15,1,0,0,8,Living_with_Family,Good,Very_High,0,15,High,Unclear,Very_High,0,0,0,0
20,Male,Kaduna,569,Single,0,249,Public,4.0,2,4.72,19,48,7,3,Improving,Medicine,Moderate,None,Medium,Fully_Paid,1,1,High,7,27,1,1,0,2,Off_Campus,Excellent,Moderate,1,13,Low,Somewhat_Clear,Very_Low,3,0,1,0
22,Female,Ogun,379,Single,0,343,Public,4.0,1,4.88,28,85,3,2,Stable,Engineering,High,None,Low,Fully_Paid,0,1,Very_High,6,26,1,1,1,6,Living_with_Family,Good,Moderate,0,6,Moderate,Unclear,High,4,0,1,0
20,Female,Cross_River,109,Single,0,196,Private,3.66,4,3.69,18,83,5,4,Improving,Environmental_Studies,Very_High,None,Low,Fully_Paid,1,1,Low,1,3,1,0,0,9,Off_Campus,Fair,Moderate,0,0,Very_Low,Somewhat_Clear,Very_Low,1,0,0,0
25,Male,Oyo,247,Single,0,349,Private,3.79,3,3.16,26,46,4,0,Improving,Science,Moderate,Partial,Medium,Fully_Paid,0,0,Moderate,2,21,0,0,1,5,Off_Campus,Excellent,Moderate,0,15,High,Somewhat_Clear,Low,1,0,1,0
19,Female,Katsina,523,Single,0,345,Public,2.01,2,4.92,23,50,8,0,Declining,Arts,Low,Partial,High,Owing,0,1,Low,7,21,0,0,0,1,Off_Campus,Fair,High,1,5,Moderate,Very_Clear,Very_High,0,0,0,0
26,Female,Ogun,194,Single,0,344,Private,3.79,3,3.68,18,64,1,0,Declining,Medicine,High,None,Medium,Fully_Paid,0,1,Low,1,9,0,1,0,8,Off_Campus,Good,High,1,11,High,Unclear,Moderate,1,0,1,0
22,Female,Imo,180,Married,1,313,Public,4.53,1,2.27,27,73,14,0,Stable,Arts,High,None,Low,Partially_Paid,1,1,Moderate,7,17,0,0,1,6,Living_with_Family,Good,Moderate,0,10,Low,Unclear,Moderate,2,1,0,1
22,Male,Rivers,69,Single,1,330,Public,3.58,4,4.04,18,91,1,1,Stable,Education,High,None,Medium,Owing,0,1,Low,6,10,1,1,0,4,Off_Campus,Good,High,0,14,High,Clear,Moderate,1,0,0,0
26,Male,Borno,273,Single,0,221,Public,3.43,1,3.42,18,65,4,6,Improving,Science,Low,Full,Low,Fully_Paid,1,1,High,6,9,0,0,1,5,Private_Hostel,Excellent,Moderate,0,4,Very_High,Somewhat_Clear,High,3,1,1,1
25,Female,Kano,383,Single,0,308,Private,4.8,4,4.12,13,89,7,3,Stable,Science,Moderate,Partial,Low,Fully_Paid,1,1,High,14,21,0,0,0,4,Living_with_Family,Good,High,0,17,High,Somewhat_Clear,Moderate,2,0,1,0
18,Female,Delta,389,Single,0,221,Public,2.3,4,1.62,14,58,11,2,Stable,Engineering,Moderate,None,Low,Partially_Paid,0,1,High,5,19,0,0,1,2,Living_with_Family,Good,Low,0,2,Very_High,Very_Unclear,Very_High,3,0,1,1
24,Male,Anambra,636,Married,0,220,Private,2.04,2,3.82,13,60,9,3,Declining,Agriculture,Very_High,None,Low,Fully_Paid,1,0,High,7,12,0,0,0,4,Off_Campus,Fair,High,1,3,High,Unclear,Low,0,0,0,1
22,Male,Anambra,176,Single,0,219,Private,3.75,2,3.62,21,97,9,6,Improving,Social_Sciences,Moderate,None,Medium,Partially_Paid,1,0,Low,14,26,1,0,1,2,Private_Hostel,Excellent,High,0,8,High,Somewhat_Clear,Moderate,0,0,0,0
18,Male,Lagos,645,Married,0,272,Public,4.68,1,2.32,20,33,4,6,Declining,Agriculture,Very_High,Partial,Low,Owing,1,1,High,11,28,0,0,1,1,Off_Campus,Fair,High,0,4,Moderate,Very_Unclear,Moderate,1,1,0,1
17,Male,Enugu,288,Single,0,233,Public,3.43,5,3.83,22,87,6,2,Stable,Arts,Moderate,Partial,Low,Fully_Paid,1,1,Very_High,8,12,0,0,0,1,Off_Campus,Good,Moderate,0,9,Very_Low,Somewhat_Clear,Low,0,0,0,0
20,Female,Delta,105,Single,0,299,Public,4.37,2,3.38,24,88,3,4,Stable,Medicine,Moderate,None,Low,Fully_Paid,1,0,Moderate,14,9,1,0,0,1,Living_with_Family,Good,High,0,7,Moderate,Clear,High,3,0,1,0
16,Male,Kaduna,138,Single,0,318,Public,3.41,3,4.82,18,52,2,1,Improving,Law,Moderate,None,Low,Fully_Paid,1,1,Moderate,5,24,0,1,1,1,Off_Campus,Good,High,0,3,Low,Unclear,Moderate,3,1,0,0
26,Male,Lagos,211,Married,0,181,Public,2.93,2,3.47,15,82,4,4,Improving,Arts,Moderate,None,Low,Owing,1,1,Very_High,7,8,0,0,0,2,Off_Campus,Good,High,0,10,Low,Somewhat_Clear,Very_High,1,0,0,0
27,Male,Delta,165,Single,0,260,Private,2.57,3,3.28,23,31,0,7,Declining,Law,Very_High,None,Low,Partially_Paid,1,0,High,3,0,0,1,0,4,Private_Hostel,Good,High,0,17,High,Unclear,Very_High,2,0,0,0
19,Male,Rivers,624,Single,0,189,Private,4.15,4,4.64,28,89,13,1,Declining,Science,Low,None,Low,Fully_Paid,0,0,Very_High,13,3,0,0,1,9,Living_with_Family,Fair,High,0,8,Very_High,Very_Clear,Moderate,2,1,1,1
18,Female,Imo,781,Single,0,254,Public,2.69,4,3.91,12,51,0,2,Stable,Science,High,Partial,Low,Partially_Paid,0,1,Moderate,3,8,0,0,1,2,Living_with_Family,Poor,Moderate,0,19,Moderate,Unclear,Very_High,0,0,1,0
26,Male,Kaduna,337,Single,0,333,Public,2.66,4,3.56,29,99,1,7,Improving,Education,Moderate,Partial,Low,Partially_Paid,0,1,High,1,26,0,0,0,7,Living_with_Family,Poor,Moderate,0,14,Very_Low,Somewhat_Clear,High,1,0,0,0
27,Female,Lagos,287,Single,0,226,Public,3.91,3,2.83,24,98,14,1,Improving,Science,Very_High,None,Low,Fully_Paid,0,1,Moderate,10,4,0,1,0,2,Campus_Hostel,Fair,Moderate,0,3,Moderate,Somewhat_Clear,Moderate,4,0,1,1
22,Male,Oyo,547,Married,0,313,Public,3.3,2,4.67,22,70,13,7,Stable,Agriculture,Moderate,Partial,High,Fully_Paid,0,1,High,14,11,0,0,1,3,Living_with_Family,Good,High,0,18,Moderate,Very_Unclear,High,1,0,0,0
23,Female,Oyo,527,Single,0,349,Public,3.07,5,1.5,14,93,13,0,Stable,Medicine,Very_High,None,Medium,Owing,0,1,Moderate,12,20,0,0,1,2,Off_Campus,Excellent,Low,1,14,High,Very_Unclear,High,1,0,1,1
18,Male,Rivers,478,Single,0,319,Public,4.03,5,1.83,16,43,11,1,Declining,Agriculture,Low,None,Low,Owing,0,0,Low,1,15,1,1,0,1,Off_Campus,Good,Moderate,1,16,High,Somewhat_Clear,Very_Low,4,0,0,1
18,Male,Cross_River,356,Single,1,283,Public,4.88,2,4.71,21,95,11,7,Stable,Science,Very_High,None,Low,Owing,1,1,Very_High,4,16,0,0,0,6,Off_Campus,Excellent,High,0,12,Moderate,Somewhat_Clear,Very_High,2,0,1,0
18,Female,Lagos,714,Single,0,243,Public,2.4,1,4.42,28,96,8,7,Declining,Engineering,High,None,Medium,Fully_Paid,0,1,High,0,2,1,0,1,7,Off_Campus,Excellent,Moderate,0,19,Very_High,Clear,High,1,0,1,0
23,Female,Oyo,629,Single,1,242,Public,4.91,1,3.0,23,66,13,3,Declining,Environmental_Studies,Moderate,None,Low,Fully_Paid,0,1,Very_High,8,15,1,1,1,3,Living_with_Family,Good,Low,1,11,Low,Unclear,Moderate,2,0,0,1
20,Female,Delta,412,Single,1,308,Private,4.18,2,1.72,12,55,12,0,Declining,Medicine,High,None,Medium,Owing,1,1,Low,8,24,0,0,0,7,Off_Campus,Good,Low,0,0,Moderate,Clear,High,0,0,1,1
19,Female,Anambra,167,Single,0,245,Public,2.83,2,2.36,13,64,1,1,Improving,Environmental_Studies,Moderate,None,Low,Fully_Paid,1,1,Moderate,13,9,0,0,1,2,Campus_Hostel,Fair,Moderate,1,14,Moderate,Unclear,Very_Low,3,0,0,0
22,Male,Kano,464,Single,0,284,Private,2.47,4,4.91,26,48,5,3,Stable,Law,Moderate,Partial,Low,Fully_Paid,0,1,Moderate,10,26,0,0,0,2,Campus_Hostel,Excellent,Moderate,0,18,Very_High,Somewhat_Clear,Low,2,0,0,0
26,Female,Katsina,547,Single,1,325,Private,3.12,2,2.27,13,45,4,1,Stable,Agriculture,Moderate,None,Medium,Fully_Paid,0,1,Moderate,5,13,0,0,1,4,Private_Hostel,Fair,Moderate,0,7,Low,Unclear,Moderate,3,1,0,1
23,Female,Delta,706,Single,0,339,Public,3.0,2,3.21,29,36,12,1,Stable,Agriculture,Very_High,None,High,Owing,0,1,Moderate,11,8,0,0,0,2,Off_Campus,Fair,High,0,11,Moderate,Very_Unclear,Moderate,1,0,0,1
